time;latitude;longitude;depth;mag;magType;nst;gap;dmin;rms;net;id;updated;place;type;horizontalError;depthError;magError;magNst;status;locationSource;magSource
2021-08-02T23:01:01.149Z;-3.1615;100.4063;10;5.2;mb;;50;2.809;0.87;us;us6000f1ny;2021-10-14T01:05:55.040Z;164 km SW of Sungai Penuh, Indonesia (1);earthquake;6.2;1.7;0.058;100;reviewed;us;us
2021-07-10T02:41:09.501Z;1.8228;96.9785;17.35;5.4;mb;;36;0.788;0.87;us;us6000etz0;2021-09-17T22:49:15.040Z;98 km SE of Sinabang, Indonesia;earthquake;5.7;3.2;0.041;204;reviewed;us;us
2021-06-27T15:56:12.192Z;-2.8938;101.0849;40.3;5.1;mb;;55;2.368;0.62;us;us6000eq9y;2021-09-09T22:05:24.040Z;98 km SSW of Sungai Penuh, Indonesia (1);earthquake;5.9;4.4;0.055;108;reviewed;us;us
2021-06-19T21:12:15.554Z;-4.56;102.6323;56.2;5.2;mb;;27;0.378;0.57;us;us7000eehm;2021-08-27T18:57:39.040Z;90 km SW of Pagar Alam, Indonesia (1);earthquake;6.6;4.5;0.043;176;reviewed;us;us
2021-06-15T14:16:14.774Z;-4.2753;102.4086;61.49;5.2;mb;;48;0.552;0.66;us;us7000ed89;2021-08-26T21:59:23.040Z;54 km SSE of Bengkulu, Indonesia;earthquake;5.2;5.4;0.059;100;reviewed;us;us
2021-06-10T10:12:47.163Z;-4.8293;102.9678;59.31;5.1;mb;;54;0.465;0.83;us;us7000ebnu;2021-08-24T21:33:43.040Z;94 km SSW of Pagar Alam, Indonesia;earthquake;6.7;3.1;0.057;102;reviewed;us;us
2021-05-23T03:48:11.936Z;-6.3831;105.3483;10;5.1;mb;;48;2.293;1.13;us;us7000e5fh;2021-07-31T22:08:45.040Z;53 km W of Labuan, Indonesia;earthquake;5.8;1.7;0.062;85;reviewed;us;us
2021-05-22T08:25:48.262Z;-5.8666;101.7682;10;5;mb;;98;1.907;0.66;us;us7000e5a1;2021-07-31T22:08:28.040Z;235 km SSW of Bengkulu, Indonesia;earthquake;6.1;1.9;0.078;53;reviewed;us;us
2021-03-29T04:13:18.616Z;-4.5491;102.6262;59.62;5.2;mb;;59;0.378;0.84;us;us6000dxb7;2021-06-08T17:59:01.040Z;90 km SW of Pagar Alam, Indonesia (2);earthquake;7.2;5.2;0.056;106;reviewed;us;us
2021-02-15T04:57:13.303Z;1.0728;98.8358;68.92;5;mb;;44;1.28;0.94;us;us6000dhqv;2021-04-23T21:04:38.040Z;59 km SW of Padangsidempuan, Indonesia;earthquake;5.4;4.5;0.073;61;reviewed;us;us
2021-02-13T04:30:57.157Z;-6.2602;103.6709;35;5.2;mb;;41;2.017;1.15;us;us6000dhae;2021-04-23T21:04:27.040Z;198 km WSW of Bandar Lampung, Indonesia;earthquake;3.3;1.9;0.065;78;reviewed;us;us
2021-02-13T04:18:26.012Z;-6.3295;103.6081;35;5;mb;;80;2.061;1.01;us;us6000dhab;2021-04-23T21:04:27.040Z;208 km WSW of Bandar Lampung, Indonesia (1);earthquake;4.6;1.9;0.09;39;reviewed;us;us
2021-02-10T10:21:32.622Z;-5.6388;101.6825;10;5;mb;;83;1.794;0.47;us;us6000dg6b;2021-04-22T21:52:19.040Z;213 km SSW of Bengkulu, Indonesia;earthquake;7.2;1.8;0.069;68;reviewed;us;us
2021-02-10T10:15:34.561Z;-5.6093;101.6854;10;5.2;mb;;41;1.772;0.59;us;us6000dg6a;2021-04-22T21:52:19.040Z;210 km SSW of Bengkulu, Indonesia;earthquake;4.8;1.7;0.073;61;reviewed;us;us
2021-01-24T13:03:29.349Z;-4.4396;102.533;54.96;5.1;mb;;84;0.428;0.56;us;us7000d2wn;2021-04-13T17:07:24.040Z;76 km SSE of Bengkulu, Indonesia;earthquake;6.9;4.9;0.067;71;reviewed;us;us
2020-12-23T22:19:53.350Z;-4.4368;101.0761;10;5.2;mb;;39;1.875;0.63;us;us6000d2c8;2021-03-06T23:18:03.040Z;149 km WSW of Bengkulu, Indonesia;earthquake;6.5;1.8;0.064;82;reviewed;us;us
2020-11-30T17:14:12.006Z;3.067;96.1349;27.89;5;mb;;59;2.267;0.75;us;us7000cl7y;2021-02-06T18:29:19.040Z;70 km NNW of Sinabang, Indonesia;earthquake;7.2;4.9;0.067;71;reviewed;us;us
2020-11-29T14:48:27.981Z;-5.0092;102.93;55.23;5.2;mb;;52;0.644;0.75;us;us7000ckwi;2021-02-06T18:28:58.040Z;114 km SSW of Pagar Alam, Indonesia;earthquake;6.2;5.4;0.059;94;reviewed;us;us
2020-10-19T09:42:53.479Z;-3.3354;100.3183;19.29;5.1;mb;;65;2.821;0.62;us;us6000c9dx;2020-12-29T23:07:39.040Z;185 km SW of Sungai Penuh, Indonesia;earthquake;5.9;3.5;0.088;42;reviewed;us;us
2020-10-18T22:48:50.249Z;-3.4021;100.2732;10;5.1;mb;;58;2.84;0.76;us;us6000c99g;2020-12-29T23:07:36.040Z;193 km SW of Sungai Penuh, Indonesia;earthquake;6.7;1.8;0.069;69;reviewed;us;us
2020-10-17T17:56:23.873Z;-3.2733;100.4042;10;5.2;mb;;69;2.765;0.93;us;us6000cbc9;2020-12-29T23:07:32.040Z;173 km SW of Sungai Penuh, Indonesia;earthquake;8.2;1.8;0.085;49;reviewed;us;us
2020-09-08T04:37:02.589Z;-1.14;98.4985;10;5;mb;;94;2.597;0.74;us;us7000bjjb;2020-11-17T19:44:54.040Z;189 km WSW of Pariaman, Indonesia;earthquake;6.6;1.6;0.09;39;reviewed;us;us
2020-09-03T16:02:55.155Z;-4.4773;102.5889;54.02;5.3;mb;;34;0.383;0.85;us;us7000bh8s;2020-11-17T19:44:27.040Z;83 km SSE of Bengkulu, Indonesia (1);earthquake;6.8;4.1;0.047;152;reviewed;us;us
2020-08-24T10:24:32.414Z;-4.0266;101.0051;10;5;mb;;71;1.973;0.72;us;us6000bjp7;2020-10-31T19:06:22.040Z;142 km W of Bengkulu, Indonesia (1);earthquake;7.1;1.8;0.074;58;reviewed;us;us
2020-08-18T22:39:08.354Z;-4.4556;100.9629;15.2;5;mb;;204;1.989;0.59;us;us7000bcme;2020-10-24T20:09:13.040Z;161 km WSW of Bengkulu, Indonesia;earthquake;11.9;6.4;0.2;8;reviewed;us;us
2020-08-04T23:51:11.030Z;-1.7797;100.1815;48.42;5.1;mb;;119;2.26;0.86;us;us6000b9gc;2020-10-10T17:11:16.040Z;93 km SSW of Padang, Indonesia;earthquake;7.7;5.5;0.059;92;reviewed;us;us
2020-06-06T23:50:35.433Z;1.7181;97.053;11.52;5.2;mb;;28;0.664;0.7;us;us6000a7ar;2020-08-18T17:59:00.040Z;103 km SW of Singkil, Indonesia (1);earthquake;3.8;3.5;0.05;133;reviewed;us;us
2020-06-05T04:04:29.450Z;-6.3154;103.7211;23.33;5.2;mb;;83;2.086;0.98;us;us6000a6bz;2020-08-18T17:58:52.040Z;196 km WSW of Bandar Lampung, Indonesia;earthquake;7;4;0.066;76;reviewed;us;us
2020-05-22T22:36:52.865Z;-2.4966;99.5207;10;5.1;mb;;174;3.188;0.76;us;us70009nuc;2020-08-08T18:17:51.040Z;194 km SSW of Padang, Indonesia;earthquake;8.7;1.5;0.062;83;reviewed;us;us
2020-04-06T19:20:27.360Z;2.8254;95.753;35;5;mb;;102;2.366;0.7;us;us70008q3h;2020-06-21T00:55:12.040Z;79 km WNW of Sinabang, Indonesia;earthquake;8.4;1.9;0.069;68;reviewed;us;us
2020-03-06T19:52:59.234Z;-5.2218;102.2091;35;5;mb;;64;1.133;0.87;us;us60008bbr;2020-05-23T22:03:30.040Z;157 km S of Bengkulu, Indonesia;earthquake;6.6;1.9;0.06;94;reviewed;us;us
2020-02-01T09:09:31.500Z;-2.9219;101.0474;62.54;5;mb;;177;2.38;0.66;us;us60007m22;2020-04-18T22:10:09.040Z;103 km SSW of Sungai Penuh, Indonesia;earthquake;6.5;7.6;0.079;51;reviewed;us;us
2019-11-24T01:08:26.452Z;-0.9072;97.9212;10;5;mb;;121;3.714;0.65;us;us70006eie;2020-02-14T22:02:27.040Z;246 km W of Pariaman, Indonesia;earthquake;11.8;1.9;0.141;16;reviewed;us;us
2019-11-14T08:04:04.145Z;-1.8917;100.2621;63.9;5;mb;;186;2.336;0.82;us;us60006bes;2020-02-07T20:20:49.040Z;104 km S of Padang, Indonesia;earthquake;7.5;8;0.097;34;reviewed;us;us
2019-11-12T11:42:51.696Z;0.8354;97.3996;26.88;5;mb;;179;0.497;0.61;us;us60006alz;2020-02-07T20:20:20.040Z;166 km SSW of Singkil, Indonesia (1);earthquake;4.8;5.4;0.077;54;reviewed;us;us
2019-10-16T02:18:21.238Z;1.3243;96.9811;10;5;mb;;151;0.594;1.03;us;us70005ui6;2020-01-03T16:09:18.040Z;139 km SW of Singkil, Indonesia;earthquake;6.7;1.9;0.071;63;reviewed;us;us
2019-10-15T03:00:14.735Z;-4.4307;101.1328;10;5.1;mb;;81;1.818;0.91;us;us70005u8l;2020-01-03T16:09:15.040Z;143 km WSW of Bengkulu, Indonesia;earthquake;7;1.8;0.065;78;reviewed;us;us
2019-09-05T11:56:19.857Z;-6.4064;103.6499;35;5.1;mb;;93;2.146;0.97;us;us70005c9s;2019-11-30T19:37:14.040Z;208 km WSW of Bandar Lampung, Indonesia (2);earthquake;4.6;1.9;0.095;36;reviewed;us;us
2019-08-13T18:38:38.029Z;-3.0402;101.3029;46.52;5.2;mb;;101;2.107;0.8;us;us600054mx;2019-11-02T15:26:04.040Z;109 km S of Sungai Penuh, Indonesia;earthquake;7.5;5.3;0.06;91;reviewed;us;us
2019-08-05T05:09:59.914Z;-6.0251;102.2358;10;5;mb;;49;1.802;1.14;us;us600050qe;2019-10-19T21:42:12.040Z;246 km S of Bengkulu, Indonesia;earthquake;6.8;1.7;0.062;83;reviewed;us;us
